年度,月份,度數(千度)
95,01,-
95,02,246
95,03,990
95,04,2105
95,05,7195
95,06,9778
95,07,8624
95,08,3768
95,09,10311
95,10,13112
95,11,12625
95,12,18830
96,01,23615
96,02,9261
96,03,12322
96,04,9727
96,05,5135
96,06,5886
96,07,7759
96,08,5746
96,09,9017
96,10,17732
96,11,26302
96,12,15636
97,01,97205
97,02,44320
97,03,23046
97,04,37424
97,05,16571
97,06,16683
97,07,16524
97,08,8844
97,09,19288
97,10,24936
97,11,53040
97,12,44191
98,01,40755
98,02,82202
98,03,36052
98,04,83195
98,05,13517
98,06,17646
98,07,15777
98,08,13245
98,09,17269
98,10,61274
98,11,40685
98,12,127651
99,01,53741
99,02,39624
99,03,38900
99,04,35936
99,05,17585
99,06,66755
99,07,25989
99,08,15158
99,09,18987
99,10,64678
99,11,89664
99,12,57400
100,01,106895
100,02,80641
100,03,79537
100,04,38744
100,05,20656
100,06,39155
100,07,17565
100,08,14511
100,09,41972
100,10,67876
100,11,67846
100,12,108895
101,01,110780
101,02,66582
101,03,80974
101,04,42761
101,05,62706
101,06,57585
101,07,21631
101,08,45165
101,09,27397
101,10,96492
101,11,49555
101,12,71722
102,01,118500
102,02,85316
102,03,53143
102,04,49606
102,05,27386
102,06,100702
102,07,23459
102,08,26737
102,09,58292
102,10,127181
102,11,90515
102,12,120842
103,01,94545
103,02,104789
103,03,66341
103,04,41762
103,05,30695
103,06,45027
103,07,44776
103,08,25895
103,09,22655
103,10,99395
103,11,84283
103,12,119617
104,01,116060
104,02,67128
104,03,67299
104,04,59129
104,05,37772
104,06,44391
104,07,49228
104,08,39069
104,09,46375
104,10,80249
104,11,62046
104,12,113438
105,01,106109
105,02,106582
105,03,69386
105,04,27051
105,05,45960
105,06,55601
105,07,47609
105,08,17637
105,09,61298
105,10,63553
105,11,87266
105,12,117301
106,01,133625
106,02,120482
106,03,88335
106,04,57695
106,05,37905
106,06,43973
106,07,34169
106,08,32737
106,09,30198
106,10,135085
106,11,160385
106,12,158324
107,01,122888
107,02,116439
107,03,70703
107,04,33576
107,05,41555
107,06,51914
107,07,43733
107,08,25937
107,09,72036
107,10,117991
107,11,54559
107,12,146401
108,01,103218
108,02,70440
108,03,55772
108,04,49025
108,05,44442
108,06,41129
108,07,52242
108,08,19172
108,09,68412
108,10,92927
108,11,126469
108,12,111631
109,01,77800
109,02,138761
109,03,202502
109,04,165377
109,05,59043
109,06,112230
109,07,80433
109,08,42540
109,09,58463
109,10,238353
109,11,150796
109,12,147880
110,01,93637
110,02,9337
110,03,73366
110,04,71658
110,05,118724
110,06,19232
110,07,61273
110,08,45259
110,09,42274
110,10,128072
110,11,102567
110,12,135273
111,01,157998
111,02,103079
111,03,134597
111,04,102476
111,05,50013
111,06,83630
111,07,83528
111,08,7616
111,09,108834
111,10,144210
111,11,213304
111,12,280640
112,01,177669
112,02,100729
112,03,400936
112,04,344750
112,05,160091
112,06,521451
112,07,244907
112,08,186404
112,09,275214
112,10,797011
112,11,108183
112,12,890157
113,01,267956
113,02,676924
113,03,611930
113,04,501977
113,05,755782
113,06,436308
113,07,353000
113,08,262833
113,09,344636
113,10,878603
